pmcid,trn,registry
PMC8006606,UMIN:000000562,UMIN-CTR
PMC8006606,NCT00418041,ClinicalTrials.gov
PMC8006617,DRKS00011615,DRKS
PMC8006725,DRKS00015615,DRKS
PMC8008435,NCT02425644,ClinicalTrials.gov
PMC8009170,NCT01312350,ClinicalTrials.gov
PMC8014826,NCT04601090,ClinicalTrials.gov
PMC8019197,NCT02077881,ClinicalTrials.gov
PMC8019197,NCT03414229,ClinicalTrials.gov
PMC8019197,NCT03432676,ClinicalTrials.gov
PMC8019197,NCT02077881,ClinicalTrials.gov
PMC8021382,NCT03850340,ClinicalTrials.gov
PMC8024658,NCT 01768585,ClinicalTrials.gov
PMC8024658,2012–001989-15,EudraCT
PMC8027567,201802020016,EudraCT
PMC8045915,201704020214,EudraCT
PMC8053869,201803040003,EudraCT
PMC8078262,NCT02853344,ClinicalTrials.gov
PMC8078262,NCT02853344,ClinicalTrials.gov
PMC8078262,NCT02853344,ClinicalTrials.gov
PMC8089082,NCT01923051,ClinicalTrials.gov
PMC8096327,NCT02138734,ClinicalTrials.gov
PMC8096327,NCT02138734,ClinicalTrials.gov
PMC8096327,NCT03022825,ClinicalTrials.gov
PMC8120369,NCT03128528,ClinicalTrials.gov
PMC8120369,NCT03128528,ClinicalTrials.gov
PMC8122242,UMIN000012045,UMIN-CTR
PMC8153979,201603250060,EudraCT
PMC8176840,NCT02274428,ClinicalTrials.gov
PMC8180376,NCT02825394,ClinicalTrials.gov
PMC8180376,NCT02825394,ClinicalTrials.gov
PMC8191476,NCT02969356,ClinicalTrials.gov
PMC8191476,NCT02969356,ClinicalTrials.gov
PMC8195962,NCT03988088,ClinicalTrials.gov
PMC8195962,NCT03252015,ClinicalTrials.gov
PMC8195962,NCT00883051,ClinicalTrials.gov
PMC8195962,NCT03465436,ClinicalTrials.gov
PMC8200343,NCT02780167,ClinicalTrials.gov
PMC8200343,NCT03349060,ClinicalTrials.gov
PMC8200343,NCT03575871,ClinicalTrials.gov
PMC8218596,UMIN000040708,UMIN-CTR
PMC8221703,UMIN000004490,UMIN-CTR
PMC8236676,IRCT20190222042803N1,IRCT
PMC8236676,IRCT20190222042803N1,IRCT
PMC8236676,IRCT20190222042803N1,IRCT
PMC8238023,NCT03495388,ClinicalTrials.gov
PMC8246018,ChiCTR2000030970,ChiCTR
PMC8246616,NCT03192410,ClinicalTrials.gov
PMC8256836,NCT01597622,ClinicalTrials.gov
PMC8256836,NCT01345253,ClinicalTrials.gov
PMC8256836,NCT01484496,ClinicalTrials.gov
PMC8256836,NCT01597622,ClinicalTrials.gov
PMC8258074,ChiCTR1900027451,ChiCTR
PMC8259428,DRKS00016605,DRKS
PMC8265363,NCT01740427,ClinicalTrials.gov
PMC8265363,NCT01942135,ClinicalTrials.gov
PMC8265363,NCT01740427,ClinicalTrials.gov
PMC8265363,NCT01942135,ClinicalTrials.gov
PMC8265923,UMIN000029132,UMIN-CTR
PMC8273841,NCT01363544,ClinicalTrials.gov
PMC8273841,NCT01363544,ClinicalTrials.gov
PMC8280951,NCT01833104,ClinicalTrials.gov
PMC8287600,PACTR201804003064160,PACTR
PMC8299156,201906635011,EudraCT
PMC8305757,IRCT 20100512003915N20,IRCT
PMC8322787,DRKS00020533,DRKS
PMC8322787,NCT04678258,ClinicalTrials.gov
PMC8323132,NCT04381234,ClinicalTrials.gov
PMC8323864,NCT03616834,ClinicalTrials.gov
PMC8323864,NCT04622007,ClinicalTrials.gov
PMC8350004,ISRCTN14848787,ISRCTN
PMC8353912,NCT03769506,ClinicalTrials.gov
PMC8359274,201507720006,EudraCT
PMC8359283,NCT03442777,ClinicalTrials.gov
PMC8359427,NCT04269629,ClinicalTrials.gov
PMC8361986,NCT01041989,ClinicalTrials.gov
PMC8367657,NL63,NTR
PMC8367657,C000052955,UMIN-CTR
PMC8367657,C000036701,UMIN-CTR
PMC8367657,C000012503,UMIN-CTR
PMC8367657,C000004175,UMIN-CTR
PMC8367657,C000014210,UMIN-CTR
PMC8367657,C000003927,UMIN-CTR
PMC8373830,NL11,NTR
PMC8374743,NCT03349060,ClinicalTrials.gov
PMC8374743,NCT03575871,ClinicalTrials.gov
PMC8374743,NCT03796676,ClinicalTrials.gov
PMC8381433,UMIN000036097,UMIN-CTR
PMC8390327,NL 78,NTR
PMC8390327,NL 111,NTR
PMC8390327,NL 111,NTR
PMC8390327,NL 133,NTR
PMC8390327,NL 147,NTR
PMC8411479,NCT02747251,ClinicalTrials.gov
PMC8423660,UMIN000004575,UMIN-CTR
PMC8435827,201908350095,EudraCT
PMC8453520,NCT02861534,ClinicalTrials.gov
PMC8453748,NCT02577003,ClinicalTrials.gov
PMC8453748,NCT02564211,ClinicalTrials.gov
PMC8475051,ISRCTN10623443,ISRCTN
PMC8478793,NL557,NTR
PMC8478793,NL010,NTR
PMC8478793,NL577,NTR
PMC8478793,NL557,NTR
PMC8485609,NCT02168842,ClinicalTrials.gov
PMC8487208,NCT02562755,ClinicalTrials.gov
PMC8489938,NCT03671265,ClinicalTrials.gov
PMC8489938,NCT04426955,ClinicalTrials.gov
