doi,type,identifier,clinicaltrials.gov,title,phase,overall_status,primary_completion,first_posted
PMC8006606,NCT,NCT00418041,TRUE,Chronic Heart Failure Analysis and Registry in the Tohoku District 2 (CHART-2 Study),,Unknown status,March 2019,"January 4, 2007"
PMC8008435,NCT,NCT02425644,TRUE,Oral Ponesimod Versus Teriflunomide In Relapsing MUltiple Sclerosis,Phase 3,Completed,"May 16, 2019","April 24, 2015"
PMC8009170,NCT,NCT01312350,TRUE,Neoadjuvant Chemotherapy for Locally Advanced Squamous Cell Cancer of the Head and Neck (SCCHN),Phase 2,Completed,March 2016,"March 10, 2011"
PMC8014826,NCT,NCT04601090,TRUE,Survival Rates and Longterm Outcomes After COVID-19,,Completed,"June 30, 2021","October 23, 2020"
PMC8019197,NCT,NCT02077881,TRUE,Study of IDO Inhibitor in Combination With Gemcitabine and Nab-Paclitaxel in Patients With Metastatic Pancreatic Cancer,Phase 1Phase 2,Completed,"January 17, 2018","March 4, 2014"
PMC8019197,NCT,NCT03414229,TRUE,"A Study of Epacadostat, an IDO1 Inhibitor, in Combination With Pembrolizumab in Patients With Metastatic and/or Locally Advanced Sarcoma",Phase 2,"Active, not recruiting",January 2023,"January 29, 2018"
PMC8019197,NCT,NCT03432676,TRUE,Epacadostat and Pembrolizumab in Treating Participants With Advanced Pancreatic Cancer,Phase 2,Withdrawn,"April 30, 2020","February 14, 2018"
PMC8021382,NCT,NCT03850340,TRUE,Evaluation of the Review of Automated Ventilator Data's Effect on the Incidence of Ventilator Associated Events in a Medical Surgical Intensive Care Unit,,Unknown status,"November 30, 2019","February 21, 2019"
PMC8024658,NCT,NCT01768585,TRUE,Study to Investigate the Effect of Heart Rate Reduction With Ivabradine on Vascular Elastic Properties and Endothelial Function in Patients With Stable Coronary Heart Disease,Phase 4,Unknown status,December 2014,"January 15, 2013"
PMC8078262,NCT,NCT02853344,TRUE,Study of Pembrolizumab (MK-3475) Monotherapy in Locally Advanced/Metastatic Renal Cell Carcinoma (MK-3475-427/KEYNOTE-427),Phase 2,Completed,"February 5, 2021","August 2, 2016"
PMC8089082,NCT,NCT01923051,TRUE,Czech Multicentre Research Database of Chronic Obstructive Pulmonary Disease (COPD),,Unknown status,December 2021,"August 14, 2013"
PMC8096327,NCT,NCT02138734,TRUE,A Study of Intravesical BCG in Combination With ALT-803 in Patients With Non-Muscle Invasive Bladder Cancer,Phase 1Phase 2,Recruiting,December 2025,"May 15, 2014"
