doi,type,identifier,clinicaltrials.gov
PMC8556752,ANZCTR,ACTRN12618001762246,NA
PMC8246018,ChiCTR,ChiCTR2000030970,NA
PMC8258074,ChiCTR,ChiCTR1900027451,NA
PMC8579873,ChiCTR,ChiCTR1900027404,NA
PMC8753277,CRiS,KCT0004670,NA
PMC8006606,ClinicalTrials.gov,NCT00418041,NA
PMC8008435,ClinicalTrials.gov,NCT02425644,NA
PMC8009170,ClinicalTrials.gov,NCT01312350,NA
PMC8014826,ClinicalTrials.gov,NCT04601090,NA
PMC8019197,ClinicalTrials.gov,NCT02077881,NA
PMC8019197,ClinicalTrials.gov,NCT03414229,NA
PMC8019197,ClinicalTrials.gov,NCT03432676,NA
PMC8021382,ClinicalTrials.gov,NCT03850340,NA
PMC8024658,ClinicalTrials.gov,NCT01768585,NA
PMC8078262,ClinicalTrials.gov,NCT02853344,NA
PMC8089082,ClinicalTrials.gov,NCT01923051,NA
PMC8096327,ClinicalTrials.gov,NCT02138734,NA
PMC8096327,ClinicalTrials.gov,NCT03022825,NA
PMC8120369,ClinicalTrials.gov,NCT03128528,NA
PMC8176840,ClinicalTrials.gov,NCT02274428,NA
PMC8180376,ClinicalTrials.gov,NCT02825394,NA
PMC8191476,ClinicalTrials.gov,NCT02969356,NA
PMC8195962,ClinicalTrials.gov,NCT03988088,NA
PMC8195962,ClinicalTrials.gov,NCT03252015,NA
PMC8195962,ClinicalTrials.gov,NCT00883051,NA
PMC8195962,ClinicalTrials.gov,NCT03465436,NA
PMC8200343,ClinicalTrials.gov,NCT02780167,NA
PMC8200343,ClinicalTrials.gov,NCT03349060,NA
PMC8200343,ClinicalTrials.gov,NCT03575871,NA
PMC8238023,ClinicalTrials.gov,NCT03495388,NA
PMC8246616,ClinicalTrials.gov,NCT03192410,NA
PMC8256836,ClinicalTrials.gov,NCT01597622,NA
PMC8256836,ClinicalTrials.gov,NCT01345253,NA
PMC8256836,ClinicalTrials.gov,NCT01484496,NA
PMC8265363,ClinicalTrials.gov,NCT01740427,NA
PMC8265363,ClinicalTrials.gov,NCT01942135,NA
PMC8273841,ClinicalTrials.gov,NCT01363544,NA
PMC8280951,ClinicalTrials.gov,NCT01833104,NA
PMC8322787,ClinicalTrials.gov,NCT04678258,NA
PMC8323132,ClinicalTrials.gov,NCT04381234,NA
PMC8323864,ClinicalTrials.gov,NCT03616834,NA
PMC8323864,ClinicalTrials.gov,NCT04622007,NA
PMC8353912,ClinicalTrials.gov,NCT03769506,NA
PMC8359283,ClinicalTrials.gov,NCT03442777,NA
PMC8359427,ClinicalTrials.gov,NCT04269629,NA
PMC8361986,ClinicalTrials.gov,NCT01041989,NA
PMC8374743,ClinicalTrials.gov,NCT03349060,NA
PMC8374743,ClinicalTrials.gov,NCT03575871,NA
PMC8374743,ClinicalTrials.gov,NCT03796676,NA
PMC8411479,ClinicalTrials.gov,NCT02747251,NA
PMC8453520,ClinicalTrials.gov,NCT02861534,NA
PMC8453748,ClinicalTrials.gov,NCT02577003,NA
PMC8453748,ClinicalTrials.gov,NCT02564211,NA
PMC8485609,ClinicalTrials.gov,NCT02168842,NA
PMC8487208,ClinicalTrials.gov,NCT02562755,NA
